Date,Close
04/06/1998,3314.68
04/07/1998,3325.81
04/08/1998,3260.56
04/09/1998,3264.15
04/14/1998,3283.05
04/15/1998,3289.71
04/16/1998,3251.87
04/17/1998,3267.75
04/20/1998,3298.98
04/21/1998,3294.93
04/22/1998,3272.2
04/23/1998,3226.14
04/24/1998,3174.18
04/27/1998,3061.04
04/28/1998,3153.55
04/29/1998,3118.37
04/30/1998,3120.94
05/04/1998,3309.96
05/05/1998,3261.38
05/06/1998,3262.55
05/07/1998,3216.03
05/08/1998,3255.78
05/11/1998,3327.92
05/12/1998,3290.86
05/13/1998,3304.42
05/14/1998,3305.41
05/15/1998,3304.69
05/18/1998,3253.33
05/19/1998,3313.72
05/20/1998,3352.25
05/22/1998,3371.39
05/25/1998,3422.42
05/26/1998,3424.55
05/27/1998,3340.51
05/28/1998,3338.8
05/29/1998,3357.77
06/02/1998,3368.29
06/03/1998,3399.22
06/04/1998,3375.03
06/05/1998,3421.55
06/08/1998,3443.76
06/09/1998,3415.77
06/10/1998,3424.65
06/11/1998,3393.76
06/12/1998,3303.01
06/15/1998,3253.91
06/16/1998,3269.06
06/17/1998,3330.55
06/18/1998,3291.14
06/19/1998,3258.16
06/22/1998,3252.12
06/23/1998,3309.48
06/24/1998,3330.29
06/25/1998,3391.94
06/26/1998,3395.41
06/29/1998,3431.06
06/30/1998,3406.82
07/01/1998,3464.96
07/02/1998,3471.65
07/03/1998,3506.45
07/06/1998,3518.79
07/07/1998,3530.93
07/08/1998,3553.07
07/09/1998,3542.2
07/10/1998,3532.65
07/13/1998,3551.74
07/14/1998,3576.68
07/15/1998,3602.83
07/16/1998,3613.4
07/17/1998,3658.48
07/20/1998,3670.82
07/21/1998,3649.96
07/22/1998,3582.12
07/23/1998,3582.16
07/24/1998,3570.67
07/27/1998,3512.62
07/28/1998,3499.87
07/29/1998,3494.53
07/30/1998,3529.5
07/31/1998,3480.63
08/03/1998,3422.75
08/04/1998,3412.66
08/05/1998,3344.15
08/06/1998,3290.5
08/07/1998,3348.61
08/10/1998,3282.7
08/11/1998,3187.44
08/12/1998,3248.14
08/13/1998,3240.83
08/14/1998,3284.47
08/17/1998,3277.21
08/18/1998,3389.88
08/19/1998,3400.07
08/20/1998,3349.23
08/21/1998,3209.05
08/24/1998,3202.96
08/25/1998,3282.91
08/26/1998,3186.77
08/27/1998,3063.83
08/28/1998,3009.74
08/31/1998,2978.12
09/01/1998,2950.01
09/02/1998,3035.73
09/03/1998,2971.38
09/04/1998,3003.66
09/07/1998,3038.09
09/08/1998,3105.31
09/09/1998,3051.49
09/10/1998,2903.71
09/11/1998,2890.98
09/14/1998,2968.55
09/15/1998,2947.01
09/16/1998,2971.83
09/17/1998,2826.22
09/18/1998,2781.69
09/21/1998,2658.27
09/22/1998,2726.32
09/23/1998,2820.29
09/24/1998,2775.47
09/25/1998,2743.04
09/28/1998,2785.63
09/29/1998,2760.26
09/30/1998,2670.97
10/01/1998,2533.07
10/02/1998,2488.59
10/05/1998,2445.89
10/06/1998,2586.69
10/07/1998,2541.08
10/08/1998,2419.23
10/09/1998,2469.87
10/12/1998,2469.87
10/13/1998,2469.87
10/14/1998,2469.87
10/15/1998,2469.87
10/16/1998,2469.87
10/19/1998,2469.87
10/20/1998,2469.87
10/21/1998,2469.87
10/22/1998,2797.33
10/23/1998,2806.22
10/26/1998,2829.55
10/27/1998,2910.1
10/28/1998,2845.3
10/29/1998,2832.82
10/30/1998,2887.11
11/02/1998,2952.04
11/03/1998,2952.23
11/04/1998,3030.34
11/05/1998,2975.7
11/06/1998,2972.25
11/09/1998,2957.79
11/10/1998,2918.94
11/11/1998,2935.14
11/12/1998,2929.19
11/13/1998,2924.97
11/16/1998,3000.97
11/17/1998,2982.07
11/18/1998,2974.98
11/19/1998,3049.68
11/20/1998,3133.49
11/23/1998,3194.17
11/24/1998,3163.88
11/25/1998,3167.24
11/26/1998,3230.34
11/27/1998,3261.19
11/30/1998,3179.09
12/01/1998,3056.11
12/02/1998,3017.89
12/03/1998,3064.55
12/04/1998,3079.64
12/07/1998,3095.55
12/08/1998,3102.99
12/09/1998,3111.96
12/10/1998,3106.59
12/11/1998,3048.92
